area,response,var,label,estimate,ci,pd,ps,bf,ess,rhat
Laboratory and Cellular,B cells,[PCOV NoS],"$\beta$ = -0.52, CI~95%~[-1.54, 0.53], pd = 84.3%, ps = 79%, BF~10~ = 0.29",-0.52,"[-1.54, 0.53]",0.843,0.79,0.29,6869.3,1
Laboratory and Cellular,B cells,[PCOV NoS] x [Fatigue scale],"$\beta$ = -0.2, CI~95%~[-0.47, 0.05], pd = 94%, ps = 78.7%, BF~10~ = 0.15",-0.2,"[-0.47, 0.05]",0.94,0.787,0.15,13296,1
Laboratory and Cellular,B cells,[PCOV NoS] x [Pathologies: Diabetes (Yes)],"$\beta$ = -0.58, CI~95%~[-1.39, 0.28], pd = 91%, ps = 86.7%, BF~10~ = 0.34",-0.58,"[-1.39, 0.28]",0.91,0.867,0.34,12024.4,1
Laboratory and Cellular,B cells,[PCOV NoS] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = -0.46, CI~95%~[-1.28, 0.36], pd = 87.3%, ps = 81.3%, BF~10~ = 0.27",-0.46,"[-1.28, 0.36]",0.873,0.813,0.27,12018.9,1
Laboratory and Cellular,B cells,[PCOV NoS] x [Pathologies: Obesity (Yes)],"$\beta$ = -0.44, CI~95%~[-1.44, 0.51], pd = 81%, ps = 75.3%, BF~10~ = 0.25",-0.44,"[-1.44, 0.51]",0.81,0.753,0.25,11868.2,1
Laboratory and Cellular,B cells,[PCOV NoS] x [Sex: Female],"$\beta$ = 0.46, CI~95%~[-0.18, 1.09], pd = 91.7%, ps = 86.2%, BF~10~ = 0.28",0.46,"[-0.18, 1.09]",0.917,0.862,0.28,11363.6,1
Laboratory and Cellular,B cells,[PCOV NoV] x [Age],"$\beta$ = -0.12, CI~95%~[-0.38, 0.15], pd = 81%, ps = 55.3%, BF~10~ = 0.07",-0.12,"[-0.38, 0.15]",0.81,0.553,0.07,13957.3,1
Laboratory and Cellular,B cells,[PCOV NoV] x [Education level: Linear],"$\beta$ = 1.48, CI~95%~[-1.14, 3.92], pd = 87.5%, ps = 86%, BF~10~ = 0.82",1.48,"[-1.14, 3.92]",0.875,0.86,0.82,8256.5,1
Laboratory and Cellular,B cells,[PCOV NoV] x [Fatigue scale],"$\beta$ = -0.21, CI~95%~[-0.48, 0.08], pd = 93.6%, ps = 79.2%, BF~10~ = 0.15",-0.21,"[-0.48, 0.08]",0.936,0.792,0.15,14301.3,1
Laboratory and Cellular,B cells,[PCOV NoV] x [Pathologies: Hypertension (Yes)],"$\beta$ = 0.42, CI~95%~[-0.26, 1.19], pd = 87.7%, ps = 80.9%, BF~10~ = 0.25",0.42,"[-0.26, 1.19]",0.877,0.809,0.25,10797.2,1
Laboratory and Cellular,B cells,[PCOV NoV] x [Pathologies: Obesity (Yes)],"$\beta$ = -0.94, CI~95%~[-1.89, -0.02], pd = 97.8%, ps = 96.4%, BF~10~ = 1.22",-0.94,"[-1.89, -0.02]",0.978,0.964,1.22,10384.9,1
Laboratory and Cellular,B cells,[PCOV NoV] x [Sex: Female],"$\beta$ = -0.24, CI~95%~[-0.8, 0.34], pd = 80.3%, ps = 68.9%, BF~10~ = 0.14",-0.24,"[-0.8, 0.34]",0.803,0.689,0.14,13649.2,1
Laboratory and Cellular,B cells,[PCOV Severity Score] x [Fatigue scale],"$\beta$ = 0.18, CI~95%~[-0.07, 0.45], pd = 91.9%, ps = 73.7%, BF~10~ = 0.11",0.18,"[-0.07, 0.45]",0.919,0.737,0.11,13474.2,1
Laboratory and Cellular,B cells,[PCOV Severity Score] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = 0.55, CI~95%~[-0.23, 1.25], pd = 92.4%, ps = 88.1%, BF~10~ = 0.37",0.55,"[-0.23, 1.25]",0.924,0.881,0.37,13121.6,1
Laboratory and Cellular,B cells,[PCOV Severity Score] x [Pathologies: Hypertension (Yes)],"$\beta$ = 0.53, CI~95%~[-0.12, 1.21], pd = 94.2%, ps = 89.8%, BF~10~ = 0.37",0.53,"[-0.12, 1.21]",0.942,0.898,0.37,9611,1
Laboratory and Cellular,B cells,[PCOV Severity Score] x [Pathologies: Obesity (Yes)],"$\beta$ = 0.91, CI~95%~[-0.23, 2.12], pd = 93.7%, ps = 91.5%, BF~10~ = 0.66",0.91,"[-0.23, 2.12]",0.937,0.915,0.66,13320,1
Laboratory and Cellular,B cells,[PCOV Severity Score] x [Sex: Female],"$\beta$ = -0.38, CI~95%~[-1.02, 0.18], pd = 89.9%, ps = 83.1%, BF~10~ = 0.24",-0.38,"[-1.02, 0.18]",0.899,0.831,0.24,10887.1,1
Laboratory and Cellular,B cells,[Pathologies: Dyslipidemia (Yes)],"$\beta$ = 0.7, CI~95%~[-0.25, 1.64], pd = 92.9%, ps = 89.7%, BF~10~ = 0.47",0.7,"[-0.25, 1.64]",0.929,0.897,0.47,11383.8,1
Laboratory and Cellular,B cells,[Pathologies: Obesity (Yes)],"$\beta$ = 0.64, CI~95%~[-0.41, 1.6], pd = 88.9%, ps = 84.6%, BF~10~ = 0.37",0.64,"[-0.41, 1.6]",0.889,0.846,0.37,11776.7,1
Laboratory and Cellular,Basophils,[Age],"$\beta$ = 0.16, CI~95%~[-0.13, 0.41], pd = 87%, ps = 65.7%, BF~10~ = 0.09",0.16,"[-0.13, 0.41]",0.87,0.657,0.09,11353.9,1
Laboratory and Cellular,Basophils,[PCOV NoS] x [Age],"$\beta$ = -0.24, CI~95%~[-0.62, 0.14], pd = 89.5%, ps = 76.8%, BF~10~ = 0.14",-0.24,"[-0.62, 0.14]",0.895,0.768,0.14,12195.7,1
Laboratory and Cellular,Basophils,[PCOV NoS] x [Education level: Cubic],"$\beta$ = 1.56, CI~95%~[-0.88, 3.85], pd = 89.9%, ps = 88.3%, BF~10~ = 0.86",1.56,"[-0.88, 3.85]",0.899,0.883,0.86,7345.7,1
Laboratory and Cellular,Basophils,[PCOV NoS] x [Pathologies: Diabetes (Yes)],"$\beta$ = -0.56, CI~95%~[-1.32, 0.22], pd = 92.5%, ps = 88%, BF~10~ = 0.36",-0.56,"[-1.32, 0.22]",0.925,0.88,0.36,13145.2,1
Laboratory and Cellular,Basophils,[PCOV NoS] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = -0.33, CI~95%~[-1.11, 0.4], pd = 80.4%, ps = 72.6%, BF~10~ = 0.19",-0.33,"[-1.11, 0.4]",0.804,0.726,0.19,13016,1
Laboratory and Cellular,Basophils,[PCOV NoV] x [Fatigue scale],"$\beta$ = 0.13, CI~95%~[-0.14, 0.37], pd = 84.3%, ps = 58.9%, BF~10~ = 0.07",0.13,"[-0.14, 0.37]",0.843,0.589,0.07,13128.9,1
Laboratory and Cellular,Basophils,[PCOV NoV] x [Pathologies: Diabetes (Yes)],"$\beta$ = 0.49, CI~95%~[-0.22, 1.21], pd = 91.3%, ps = 86.6%, BF~10~ = 0.31",0.49,"[-0.22, 1.21]",0.913,0.866,0.31,13725.2,1
Laboratory and Cellular,Basophils,[PCOV NoV] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = -0.99, CI~95%~[-1.76, -0.26], pd = 99.4%, ps = 98.9%, BF~10~ = 3.32",-0.99,"[-1.76, -0.26]",0.994,0.989,3.32,13893.4,1
Laboratory and Cellular,Basophils,[PCOV NoV] x [Pathologies: Hypertension (Yes)],"$\beta$ = 0.81, CI~95%~[0.12, 1.48], pd = 99%, ps = 97.9%, BF~10~ = 1.66",0.81,"[0.12, 1.48]",0.99,0.979,1.66,13227.2,1
Laboratory and Cellular,Basophils,[PCOV NoV] x [Pathologies: Obesity (Yes)],"$\beta$ = -1.1, CI~95%~[-2.01, -0.26], pd = 99.2%, ps = 98.6%, BF~10~ = 2.8",-1.1,"[-2.01, -0.26]",0.992,0.986,2.8,14489.5,1
Laboratory and Cellular,Basophils,[PCOV Severity Score] x [Age],"$\beta$ = 0.24, CI~95%~[-0.11, 0.59], pd = 90.6%, ps = 77.9%, BF~10~ = 0.14",0.24,"[-0.11, 0.59]",0.906,0.779,0.14,12063.4,1
Laboratory and Cellular,Basophils,[PCOV Severity Score] x [Fatigue scale],"$\beta$ = 0.15, CI~95%~[-0.08, 0.4], pd = 89.6%, ps = 67.3%, BF~10~ = 0.09",0.15,"[-0.08, 0.4]",0.896,0.673,0.09,13210.5,1
Laboratory and Cellular,Basophils,[PCOV Severity Score] x [Pathologies: Dyslipidemia (Yes)],"$\beta$ = -0.82, CI~95%~[-1.51, -0.16], pd = 99.1%, ps = 98.1%, BF~10~ = 1.83",-0.82,"[-1.51, -0.16]",0.991,0.981,1.83,13767.2,1
Laboratory and Cellular,Basophils,[Pathologies: Diabetes (Yes)],"$\beta$ = -0.4, CI~95%~[-1.13, 0.32], pd = 86.4%, ps = 79.5%, BF~10~ = 0.23",-0.4,"[-1.13, 0.32]",0.864,0.795,0.23,13620.9,1
Laboratory and Cellular,Bilirubin,[Age],"$\beta$ = 0.24, CI~95%~[0.04, 0.45], pd = 98.8%, ps = 91.3%, BF~10~ = 0.45",0.24,"[0.04, 0.45]",0.988,0.913,0.45,12490.9,1
Laboratory and Cellular,Bilirubin,[PCOV NoV] x [Age],"$\beta$ = 0.16, CI~95%~[-0.03, 0.35], pd = 95.4%, ps = 74.4%, BF~10~ = 0.13",0.16,"[-0.03, 0.35]",0.954,0.744,0.13,14134.2,1
Laboratory and Cellular,Bilirubin,[PCOV NoV] x [Education level: Cubic],"$\beta$ = -0.9, CI~95%~[-2.86, 1.16], pd = 81.3%, ps = 78.5%, BF~10~ = 0.5",-0.9,"[-2.86, 1.16]",0.813,0.785,0.5,8840.5,1
Laboratory and Cellular,Bilirubin,[PCOV NoV] x [Education level: Linear],"$\beta$ = -0.96, CI~95%~[-3.23, 1.2], pd = 80%, ps = 77.3%, BF~10~ = 0.51",-0.96,"[-3.23, 1.2]",0.8,0.773,0.51,9019.7,1
Laboratory and Cellular,Bilirubin,[PCOV NoV] x [Education level: Quadratic],"$\beta$ = 1.35, CI~95%~[-1.21, 3.79], pd = 85.3%, ps = 83.7%, BF~10~ = 0.77",1.35,"[-1.21, 3.79]",0.853,0.837,0.77,9195.9,1
Laboratory and Cellular,Bilirubin,[PCOV NoV] x [Fatigue scale],"$\beta$ = 0.17, CI~95%~[-0.03, 0.36], pd = 95%, ps = 74.2%, BF~10~ = 0.13",0.17,"[-0.03, 0.36]",0.95,0.742,0.13,15954.5,1
Laboratory and Cellular,Bilirubin,[PCOV NoV] x [Pathologies: Hypertension (Yes)],"$\beta$ = -0.31, CI~95%~[-0.84, 0.2], pd = 87.9%, ps = 78.7%, BF~10~ = 0.18",-0.31,"[-0.84, 0.2]",0.879,0.787,0.18,13531.7,1
Laboratory and Cellular,Bilirubin,[PCOV NoV] x [Sex: Female],"$\beta$ = -0.27, CI~95%~[-0.67, 0.14], pd = 90%, ps = 78.8%, BF~10~ = 0.15",-0.27,"[-0.67, 0.14]",0.9,0.788,0.15,15712,1
Laboratory and Cellular,Bilirubin,[PCOV Severity Score] x [Age],"$\beta$ = 0.19, CI~95%~[-0.09, 0.46], pd = 90.7%, ps = 73.2%, BF~10~ = 0.11",0.19,"[-0.09, 0.46]",0.907,0.732,0.11,12175.1,1
